Run,Current State,Current Step Number,Next State,Next Step Number
1,Prospecting,1,Prospecting,2
1,Prospecting,2,Qualifying,3
1,Qualifying,3,Proposing,4
1,Proposing,4,Qualifying,5
1,Qualifying,5,Qualifying,6
1,Qualifying,6,Qualifying,7
1,Qualifying,7,Qualifying,8
1,Qualifying,8,Proposing,9
1,Proposing,9,Proposing,10
1,Proposing,10,Negotiating,11
1,Negotiating,11,Closing,12
1,Closing,12,Closing,13
1,Closing,13,Prospecting,14
1,Prospecting,14,Prospecting,15
1,Prospecting,15,Qualifying,16
1,Qualifying,16,Proposing,17
1,Proposing,17,Closing,18
1,Closing,18,Closing,19
1,Closing,19,Maintaining,20
2,Prospecting,1,Prospecting,2
2,Prospecting,2,Qualifying,3
2,Qualifying,3,Proposing,4
2,Proposing,4,Negotiating,5
2,Negotiating,5,Negotiating,6
2,Negotiating,6,Negotiating,7
2,Negotiating,7,Negotiating,8
2,Negotiating,8,Closing,9
2,Closing,9,Proposing,10
2,Proposing,10,Negotiating,11
2,Negotiating,11,Closing,12
2,Closing,12,Maintaining,13
3,Prospecting,1,Prospecting,2
3,Prospecting,2,Prospecting,3
3,Prospecting,3,Qualifying,4
3,Qualifying,4,Qualifying,5
3,Qualifying,5,Proposing,6
3,Proposing,6,Closing,7
3,Closing,7,Maintaining,8
4,Prospecting,1,Prospecting,2
4,Prospecting,2,Prospecting,3
4,Prospecting,3,Prospecting,4
4,Prospecting,4,Qualifying,5
4,Qualifying,5,Proposing,6
4,Proposing,6,Proposing,7
4,Proposing,7,Qualifying,8
4,Qualifying,8,Qualifying,9
4,Qualifying,9,Qualifying,10
4,Qualifying,10,Proposing,11
4,Proposing,11,Closing,12
4,Closing,12,Prospecting,13
4,Prospecting,13,Qualifying,14
4,Qualifying,14,Qualifying,15
4,Qualifying,15,Qualifying,16
4,Qualifying,16,Qualifying,17
4,Qualifying,17,Qualifying,18
4,Qualifying,18,Proposing,19
4,Proposing,19,Closing,20
4,Closing,20,Proposing,21
4,Proposing,21,Qualifying,22
4,Qualifying,22,Proposing,23
4,Proposing,23,Closing,24
4,Closing,24,Closing,25
4,Closing,25,Maintaining,26
5,Prospecting,1,Prospecting,2
5,Prospecting,2,Prospecting,3
5,Prospecting,3,Qualifying,4
5,Qualifying,4,Qualifying,5
5,Qualifying,5,Qualifying,6
5,Qualifying,6,Qualifying,7
5,Qualifying,7,Qualifying,8
5,Qualifying,8,Qualifying,9
5,Qualifying,9,Qualifying,10
5,Qualifying,10,Qualifying,11
5,Qualifying,11,Proposing,12
5,Proposing,12,Proposing,13
5,Proposing,13,Closing,14
5,Closing,14,Maintaining,15
6,Prospecting,1,Prospecting,2
6,Prospecting,2,Prospecting,3
6,Prospecting,3,Qualifying,4
6,Qualifying,4,Proposing,5
6,Proposing,5,Negotiating,6
6,Negotiating,6,Proposing,7
6,Proposing,7,Negotiating,8
6,Negotiating,8,Negotiating,9
6,Negotiating,9,Proposing,10
6,Proposing,10,Qualifying,11
6,Qualifying,11,Proposing,12
6,Proposing,12,Negotiating,13
6,Negotiating,13,Proposing,14
6,Proposing,14,Closing,15
6,Closing,15,Prospecting,16
6,Prospecting,16,Qualifying,17
6,Qualifying,17,Proposing,18
6,Proposing,18,Negotiating,19
6,Negotiating,19,Negotiating,20
6,Negotiating,20,Negotiating,21
6,Negotiating,21,Proposing,22
6,Proposing,22,Proposing,23
6,Proposing,23,Negotiating,24
6,Negotiating,24,Negotiating,25
6,Negotiating,25,Proposing,26
6,Proposing,26,Proposing,27
6,Proposing,27,Qualifying,28
6,Qualifying,28,Proposing,29
6,Proposing,29,Closing,30
6,Closing,30,Maintaining,31
7,Prospecting,1,Qualifying,2
7,Qualifying,2,Qualifying,3
7,Qualifying,3,Proposing,4
7,Proposing,4,Negotiating,5
7,Negotiating,5,Negotiating,6
7,Negotiating,6,Closing,7
7,Closing,7,Maintaining,8
8,Prospecting,1,Prospecting,2
8,Prospecting,2,Qualifying,3
8,Qualifying,3,Proposing,4
8,Proposing,4,Closing,5
8,Closing,5,Closing,6
8,Closing,6,Maintaining,7
9,Prospecting,1,Prospecting,2
9,Prospecting,2,Prospecting,3
9,Prospecting,3,Prospecting,4
9,Prospecting,4,Qualifying,5
9,Qualifying,5,Qualifying,6
9,Qualifying,6,Qualifying,7
9,Qualifying,7,Proposing,8
9,Proposing,8,Proposing,9
9,Proposing,9,Proposing,10
9,Proposing,10,Proposing,11
9,Proposing,11,Proposing,12
9,Proposing,12,Qualifying,13
9,Qualifying,13,Qualifying,14
9,Qualifying,14,Qualifying,15
9,Qualifying,15,Qualifying,16
9,Qualifying,16,Qualifying,17
9,Qualifying,17,Proposing,18
9,Proposing,18,Negotiating,19
9,Negotiating,19,Negotiating,20
9,Negotiating,20,Negotiating,21
9,Negotiating,21,Negotiating,22
9,Negotiating,22,Negotiating,23
9,Negotiating,23,Closing,24
9,Closing,24,Maintaining,25
10,Prospecting,1,Prospecting,2
10,Prospecting,2,Prospecting,3
10,Prospecting,3,Prospecting,4
10,Prospecting,4,Prospecting,5
10,Prospecting,5,Prospecting,6
10,Prospecting,6,Prospecting,7
10,Prospecting,7,Qualifying,8
10,Qualifying,8,Proposing,9
10,Proposing,9,Proposing,10
10,Proposing,10,Closing,11
10,Closing,11,Prospecting,12
10,Prospecting,12,Qualifying,13
10,Qualifying,13,Proposing,14
10,Proposing,14,Negotiating,15
10,Negotiating,15,Negotiating,16
10,Negotiating,16,Closing,17
10,Closing,17,Maintaining,18
