Total_Transactions,Average_Value_Score,Market_Concentration,Buyer_States,Seller_States
0,0,0,"{'NOT_INTERESTED': 23, 'EVALUATING': 7}","{'PROSPECTING': 7, 'QUALIFYING': 3}"
0,0,0,"{'NOT_INTERESTED': 17, 'BUDGETING': 6, 'EVALUATING': 7}","{'PROSPECTING': 7, 'QUALIFYING': 3}"
0,0,0,"{'NOT_INTERESTED': 16, 'BUDGETING': 5, 'DECIDING': 2, 'EVALUATING': 7}","{'QUALIFYING': 4, 'PROSPECTING': 5, 'PROPOSING': 1}"
0,0,0,"{'NOT_INTERESTED': 18, 'EVALUATING': 7, 'DECIDING': 2, 'BUDGETING': 3}","{'QUALIFYING': 4, 'PROSPECTING': 3, 'PROPOSING': 3}"
0,0,0,"{'NOT_INTERESTED': 15, 'EVALUATING': 8, 'DECIDING': 2, 'BUDGETING': 5}","{'QUALIFYING': 5, 'PROSPECTING': 2, 'NEGOTIATING': 3}"
0,0,0,"{'NOT_INTERESTED': 19, 'BUDGETING': 6, 'GO_NOGO': 1, 'EVALUATING': 4}","{'PROPOSING': 3, 'QUALIFYING': 3, 'PROSPECTING': 1, 'NEGOTIATING': 2, 'CLOSING': 1}"
0,0,0,"{'NOT_INTERESTED': 14, 'EVALUATING': 10, 'DECIDING': 3, 'DELIVERED': 1, 'BUDGETING': 2}","{'PROPOSING': 2, 'QUALIFYING': 4, 'NEGOTIATING': 4}"
0,0,0,"{'NOT_INTERESTED': 15, 'BUDGETING': 4, 'EVALUATING': 9, 'GO_NOGO': 1, 'SATISFIED': 1}","{'NEGOTIATING': 3, 'QUALIFYING': 5, 'CLOSING': 1, 'PROPOSING': 1}"
0,0,0,"{'NOT_INTERESTED': 17, 'BUDGETING': 4, 'DECIDING': 2, 'DELIVERED': 1, 'EVALUATING': 5, 'SATISFIED': 1}","{'PROPOSING': 1, 'QUALIFYING': 5, 'NEGOTIATING': 2, 'MAINTAINING': 1, 'CLOSING': 1}"
0,0,0,"{'NOT_INTERESTED': 9, 'BUDGETING': 4, 'DECIDING': 3, 'EVALUATING': 11, 'DISSATISFIED': 1, 'SATISFIED': 1, 'GO_NOGO': 1}","{'NEGOTIATING': 2, 'QUALIFYING': 5, 'PROSPECTING': 1, 'MAINTAINING': 1, 'CLOSING': 1}"
0,0,0,"{'NOT_INTERESTED': 14, 'EVALUATING': 8, 'BUDGETING': 4, 'DISSATISFIED': 1, 'SATISFIED': 1, 'DELIVERED': 1, 'DECIDING': 1}","{'CLOSING': 1, 'QUALIFYING': 2, 'PROPOSING': 3, 'NEGOTIATING': 1, 'PROSPECTING': 1, 'MAINTAINING': 2}"
0,0,0,"{'NOT_INTERESTED': 15, 'EVALUATING': 6, 'BUDGETING': 5, 'DISSATISFIED': 2, 'SATISFIED': 1, 'DECIDING': 1}","{'MAINTAINING': 3, 'QUALIFYING': 2, 'PROPOSING': 1, 'CLOSING': 1, 'NEGOTIATING': 2, 'PROSPECTING': 1}"
0,0,0,"{'NOT_INTERESTED': 11, 'EVALUATING': 9, 'BUDGETING': 3, 'DECIDING': 4, 'SATISFIED': 2, 'DISSATISFIED': 1}","{'PROSPECTING': 2, 'PROPOSING': 2, 'NEGOTIATING': 3, 'MAINTAINING': 2, 'QUALIFYING': 1}"
0,0,0,"{'NOT_INTERESTED': 12, 'EVALUATING': 8, 'BUDGETING': 2, 'DECIDING': 3, 'SATISFIED': 2, 'DISSATISFIED': 1, 'GO_NOGO': 2}","{'PROSPECTING': 4, 'PROPOSING': 3, 'NEGOTIATING': 3}"
0,0,0,"{'EVALUATING': 10, 'BUDGETING': 4, 'GO_NOGO': 3, 'NOT_INTERESTED': 8, 'SATISFIED': 1, 'DISSATISFIED': 2, 'DELIVERED': 2}","{'PROSPECTING': 4, 'NEGOTIATING': 4, 'PROPOSING': 1, 'CLOSING': 1}"
0,0,0,"{'EVALUATING': 7, 'NOT_INTERESTED': 12, 'BUDGETING': 3, 'DECIDING': 2, 'DELIVERED': 1, 'SATISFIED': 2, 'DISSATISFIED': 3}","{'QUALIFYING': 1, 'NEGOTIATING': 4, 'PROSPECTING': 3, 'CLOSING': 2}"
